,Id,City,Latitude,Longitude,Temperature(Max(F)),Humidity,Cloudiness,Wind Speed(mph)
0,4372777,Vardo,39.62,-77.74,76.1,65,1,5.82
1,3424901,Aasiaat,68.71,-52.87,45.5,87,0,6.33
2,1015776,Bredasdorp,-34.53,20.04,53.6,87,92,4.7
3,4030556,Rikitea,-23.12,-134.97,72.59,100,32,13.94
4,4267710,Sitka,37.17,-99.65,87.17,58,0,8.34
5,6185377,Yellowknife,62.45,-114.38,62.6,55,75,12.75
6,5367788,Lompoc,34.64,-120.46,77.38,69,1,13.87
7,3453439,Ponta do Sol,-20.63,-46.0,68.54,40,0,3.65
8,1337605,Mahibadhoo,3.78,72.97,82.62,100,68,12.03
9,2022572,Khatanga,71.98,102.47,52.34,96,24,5.88
10,6165406,Thompson,55.74,-97.86,62.6,45,75,5.82
11,1490256,Talnakh,69.49,88.39,45.01,94,92,12.03
12,4031742,Egvekinot,66.32,-179.17,42.12,95,88,11.25
13,964432,Port Alfred,-33.59,26.89,62.87,87,68,12.59
14,2155415,New Norfolk,-42.78,147.06,48.2,61,20,11.41
15,1847947,Shingu,33.72,135.99,81.81,99,32,5.21
16,1862505,Hirara,24.8,125.28,83.25,100,68,6.44
17,5961417,Husavik,50.56,-96.99,92.97,53,8,10.92
18,2126710,Beringovskiy,63.05,179.32,48.74,98,0,17.74
19,3588476,Tecpan,14.76,-90.99,77.0,53,40,16.11
20,491029,Solginskiy,61.05,41.34,61.25,97,92,19.86
21,5848280,Kapaa,22.08,-159.32,82.4,78,75,13.87
22,1852357,Shimoda,34.7,138.93,80.87,97,48,13.04
23,546105,Nikolskoye,59.7,30.79,57.2,93,20,6.71
24,2109528,Buala,-8.15,159.59,76.5,100,92,11.03
25,2173911,Broken Hill,-31.97,141.45,40.41,94,0,8.46
26,3418910,Upernavik,72.79,-56.15,41.58,91,64,5.44
27,1014034,Carnarvon,-30.97,22.13,36.05,39,36,6.22
28,3369157,Cape Town,-33.93,18.42,53.6,93,75,1.12
29,3448903,Sao Joao da Barra,-21.64,-41.05,78.8,47,0,9.17
30,3691954,Sechura,-5.56,-80.82,72.14,79,0,12.03
31,6138908,Saint-Philippe,45.36,-73.48,82.78,42,1,6.93
32,2064735,Nhulunbuy,-12.18,136.78,73.4,56,0,11.41
33,2075265,Busselton,-33.64,115.35,61.75,94,0,21.09
34,6156102,Steinbach,49.53,-96.69,93.2,49,5,17.22
35,3874787,Punta Arenas,-53.16,-70.91,42.8,70,0,10.29
36,3996234,Lazaro Cardenas,28.39,-105.62,75.2,57,75,5.99
37,2160063,Codrington,-28.95,153.24,37.54,78,0,2.64
38,6201424,Mataura,-46.19,168.86,42.8,77,88,4.99
39,4020109,Atuona,-9.8,-139.03,80.65,97,48,14.83
40,3689611,Nechi,5.59,-75.16,84.02,42,24,2.64
41,1052944,Angoche,-16.23,39.91,76.6,100,0,9.69
42,2015306,Tiksi,71.64,128.87,58.82,79,8,4.76
43,5880568,Bethel,60.79,-161.76,55.4,93,90,14.99
44,2112802,Hasaki,35.73,140.83,75.76,100,75,3.36
45,2508813,Adrar,27.87,-0.29,104.0,21,76,29.97
46,2175403,Bluff,-23.58,149.07,44.82,37,0,11.81
47,3141667,Roald,62.58,6.12,54.86,81,20,3.36
48,2163355,Hobart,-42.88,147.33,48.2,61,20,11.41
49,780687,Berlevag,70.86,29.09,46.26,93,75,16.11
50,3833859,Barrow,-38.31,-60.23,60.4,67,12,7.34
51,1496073,Orlik,52.51,99.83,37.4,81,0,1.74
52,5106834,Albany,42.65,-73.75,74.46,69,90,6.93
53,3394023,Natal,-5.81,-35.21,82.4,65,20,12.75
54,53654,Mogadishu,2.04,45.34,76.52,100,80,22.08
55,1735902,Sibu,2.29,111.83,75.2,94,75,3.09
56,6089245,Norman Wells,65.28,-126.83,55.4,76,75,3.36
57,286245,Sur,22.57,59.53,88.39,75,36,6.67
58,3443061,Chuy,-33.69,-53.46,57.43,92,12,7.78
59,5847411,Kahului,20.89,-156.47,80.53,62,20,12.75
60,2522325,Aguimes,27.91,-15.45,75.2,78,40,27.51
61,3652764,Puerto Ayora,-0.74,-90.35,75.2,69,75,16.11
62,4031574,Provideniya,64.42,-173.23,52.2,91,76,19.3
63,3833367,Ushuaia,-54.81,-68.31,42.8,75,0,3.36
64,4060791,Enterprise,31.32,-85.86,92.44,52,1,5.82
65,2094342,Kavieng,-2.57,150.8,82.62,100,56,6.89
66,3395458,Maragogi,-9.01,-35.22,76.06,90,92,10.36
67,2017155,Saskylakh,71.97,114.09,61.66,71,44,17.29
68,1806466,Guangyuan,32.43,105.86,68.31,91,8,2.64
69,2090021,Namatanai,-3.66,152.44,82.45,97,88,14.05
70,3359638,Walvis Bay,-22.95,14.51,55.08,100,20,8.57
71,3466165,Cidreira,-30.17,-50.22,60.4,96,32,5.44
72,2121025,Srednekolymsk,67.46,153.71,48.6,70,0,3.65
73,5306611,Nogales,31.34,-110.94,82.4,37,36,4.7
74,3424607,Tasiilaq,65.61,-37.64,50.0,66,75,5.82
75,3863379,Mar del Plata,-46.43,-67.52,52.93,50,8,11.36
76,6167817,Torbay,47.66,-52.73,75.2,53,40,12.75
77,2094027,Kieta,-6.22,155.63,73.81,100,88,5.1
78,2157698,Mildura,-34.18,142.16,45.56,95,56,9.1
79,1636308,Manokwari,-0.87,134.08,80.87,100,12,4.32
80,344979,Lebu,8.96,38.73,51.49,95,64,2.98
81,1629965,Tanete,-3.94,119.78,76.64,84,64,10.47
82,1253628,Lata,30.78,78.62,58.19,100,92,1.74
83,5855927,Hilo,19.71,-155.08,74.26,69,40,5.82
84,3924674,Xapuri,-10.65,-68.5,91.4,49,20,9.17
85,2180815,Tuatapere,-46.13,167.69,53.1,84,68,11.48
86,2704613,Hudiksvall,61.73,17.1,60.17,99,24,15.61
87,2329562,Bage,10.95,11.38,73.62,91,76,9.24
88,559731,Gornyy,51.76,48.54,65.7,50,0,5.88
89,1282256,Hithadhoo,-0.6,73.08,81.5,100,88,17.4
90,3423146,Ilulissat,69.22,-51.1,44.6,70,75,3.36
91,505112,Privodino,61.08,46.5,64.85,89,0,10.25
92,2224827,Ngaoundere,7.32,13.58,73.4,83,40,2.3
93,6170031,Tuktoyaktuk,69.44,-133.03,44.6,81,90,13.87
94,1337610,Thinadhoo,0.53,72.93,81.0,100,76,11.92
95,5781993,Springville,40.17,-111.61,89.6,27,20,4.7
96,2381334,Atar,20.52,-13.05,94.55,28,88,5.99
97,1273574,Vaini,15.34,74.49,69.89,98,92,11.14
98,2012530,Zhigansk,66.77,123.37,56.44,74,8,5.55
99,2208248,Kaitangata,-46.28,169.85,41.76,80,8,9.13
100,130245,Javanrud,34.8,46.49,61.34,64,0,1.86
101,1733782,Victoria,5.28,115.24,80.6,100,75,8.66
102,1507390,Dikson,73.51,80.55,45.72,91,0,23.89
103,7872257,Kapfenberg,47.44,15.29,69.8,72,0,4.7
104,3831208,Qaanaaq,77.48,-69.36,38.39,98,92,1.63
105,779622,Havoysund,71.0,24.66,46.4,100,90,11.41
106,2185329,Otane,-39.89,176.62,36.77,79,12,2.42
107,683447,Budesti,44.23,26.47,73.4,53,0,10.69
108,4033557,Tautira,-17.73,-149.15,80.6,65,40,2.24
109,2737599,Saldanha,41.42,-6.55,73.35,49,24,8.46
110,2610343,Vestmanna,62.16,-7.17,51.8,76,92,8.05
111,3985710,Cabo San Lucas,22.89,-109.91,91.51,55,20,6.93
112,3530097,Champerico,16.38,-93.6,89.6,43,75,5.82
113,1529484,Hami,42.84,93.51,73.81,35,32,6.67
114,1006984,East London,-33.02,27.91,53.6,71,0,6.44
115,2013375,Vitim,59.44,112.57,50.58,83,0,2.19
116,5881791,Abbotsford,49.05,-122.33,66.18,68,90,4.7
117,1215502,Banda Aceh,5.56,95.32,77.27,86,64,6.22
118,4035715,Avarua,-21.21,-159.78,73.4,83,75,14.99
119,1106677,Bambous Virieux,-20.34,57.76,71.6,64,75,21.92
120,3397763,Jacareacanga,-6.22,-57.76,86.0,65,32,1.63
121,3427208,Pilar,-34.46,-58.91,63.77,59,0,10.89
122,2144528,Warrnambool,-38.38,142.48,54.14,95,76,18.52
123,1715636,Dao,11.39,122.69,78.75,67,24,9.46
124,2110227,Butaritari,3.07,172.79,82.94,100,0,3.53
125,3936456,Lima,-12.06,-77.04,65.52,69,24,3.2
126,4034551,Faanui,-16.48,-151.75,86.0,66,80,5.82
127,3531368,Celestun,20.87,-90.4,84.16,96,32,19.42
128,3687505,La Palma,5.36,-74.39,80.37,62,12,1.19
129,2511174,Santa Cruz de Tenerife,28.47,-16.25,77.2,69,0,4.7
130,986717,Kruisfontein,-34.0,24.73,58.1,96,92,13.82
131,2014078,Urusha,54.05,122.9,53.19,90,0,2.42
132,1067565,Beloha,-25.17,45.06,64.67,91,36,6.22
133,3573739,Esperance,10.24,-61.45,89.6,55,20,11.41
134,3373652,Oistins,13.07,-59.53,87.8,58,40,20.8
135,5972291,Havre-Saint-Pierre,50.23,-63.6,66.2,55,1,10.29
136,1787046,Honggang,29.51,114.87,74.39,88,92,2.08
137,5712169,Baker City,44.77,-117.83,73.2,31,1,8.05
138,4013704,Laguna,27.52,-110.01,78.8,78,90,12.75
139,2401357,Cocobeach,1.01,9.58,77.0,83,40,6.93
140,2656067,Broome,52.47,1.45,67.93,60,20,4.7
141,6255012,Flinders,-34.58,150.85,48.2,71,0,17.22
142,104515,Mecca,21.43,39.83,88.94,50,76,2.73
143,60019,Eyl,7.98,49.82,81.36,72,8,25.01
144,5554428,Ketchikan,55.34,-131.65,67.46,63,1,12.75
145,2026023,Bukachacha,52.99,116.91,52.56,86,12,2.3
146,3366880,Hermanus,-34.42,19.24,49.24,100,100,2.98
147,3896218,Castro,-42.48,-73.76,48.29,98,100,8.68
148,654901,Kajaani,64.22,27.73,57.2,58,0,6.93
149,5221384,Charlestown,41.38,-71.64,79.29,78,40,9.17
150,1651810,Airai,-8.93,125.41,55.98,81,8,1.97
151,1714733,Dingle,11.0,122.67,79.2,75,8,13.04
152,2069194,Jamestown,-33.21,138.6,45.45,100,80,7.78
153,262462,Saint George,39.45,22.34,68.14,67,0,3.2
154,4017582,Casas Grandes,30.15,-110.24,81.95,65,0,2.75
155,220448,Aketi,2.74,23.78,72.91,89,88,2.19
156,3671497,Puerto Colombia,10.99,-74.96,88.97,72,8,9.57
157,5016024,Albert Lea,43.65,-93.37,83.3,54,40,8.05
158,3356832,Henties Bay,-22.12,14.28,51.94,100,32,5.1
159,519062,Novoanninskiy,50.53,42.67,68.41,53,32,5.21
160,3491161,Bull Savanna,17.89,-77.59,87.94,53,64,9.46
161,1801615,Maba,24.68,113.59,71.56,96,20,2.42
162,3433899,Alberdi,-26.19,-58.14,82.4,30,0,6.93
163,3437029,San Patricio,-26.98,-56.83,70.25,57,0,3.65
164,86049,Jalu,29.03,21.55,80.1,30,0,6.78
165,1150965,Ranong,9.96,98.62,78.8,94,75,2.24
166,1528998,Yumen,40.29,97.04,59.14,50,0,3.65
167,1262734,Morwa,22.9,73.84,77.0,95,92,11.92
168,934479,Grand Gaube,-20.01,57.66,71.6,64,75,21.92
169,934322,Mahebourg,-20.41,57.7,71.6,64,75,21.92
170,4011743,Constitucion,23.99,-104.67,78.8,31,75,13.87
171,3119841,Beira,43.2,-8.36,64.4,82,20,10.29
172,2028164,Deputatskiy,69.3,139.9,51.94,62,0,3.76
173,2120048,Ust-Nera,64.57,143.24,46.45,90,0,2.42
174,1492566,Severo-Yeniseyskiy,60.37,93.04,53.19,94,92,4.21
175,5454711,Albuquerque,35.08,-106.65,78.8,33,40,3.98
176,64013,Bosaso,11.28,49.18,86.68,88,0,0.96
177,2122262,Palana,59.08,159.95,52.66,82,64,3.31
178,1492255,Sherbakul,54.63,72.39,45.72,85,20,4.76
179,1691355,Sabang,13.72,123.58,81.81,85,44,20.2
180,3652462,San Cristobal,-0.39,-78.55,60.8,48,75,18.34
181,1673820,Daliao,22.61,120.4,82.06,74,75,10.29
182,4501427,Port Elizabeth,39.31,-74.98,84.2,58,75,5.82
183,2013279,Vostok,46.45,135.83,52.66,88,24,1.97
184,5960603,Geraldton,49.72,-86.95,82.4,61,20,10.29
185,4034451,Fitii,-16.73,-151.03,79.02,100,100,14.72
186,2281951,Sassandra,4.95,-6.09,77.14,97,92,12.82
187,3416888,Grindavik,63.84,-22.43,52.75,81,75,19.46
188,3577430,Road Town,18.42,-64.62,88.79,66,40,8.05
189,3838793,Rio Tercero,-32.17,-64.11,70.39,36,0,13.6
190,2084442,Vanimo,-2.67,141.3,82.26,100,64,6.11
191,1524296,Esil,51.96,66.41,51.35,86,0,3.31
192,1487086,Vinzili,56.96,65.77,55.4,82,0,6.71
193,2790471,Hun,50.34,4.87,73.78,40,88,4.99
194,1153557,Chumphon,10.5,99.18,76.19,93,92,7.45
195,1798946,Pengcheng,36.43,114.17,73.22,93,36,2.75
196,3899695,Ancud,-41.87,-73.83,48.42,94,8,9.69
197,3665315,Anori,-3.74,-61.66,80.29,86,48,4.21
198,588365,Vao,59.1,26.19,57.92,95,92,8.46
199,3372472,Vila Franca do Campo,37.72,-25.43,75.2,83,40,6.93
200,786562,Dukat,42.44,22.31,59.54,80,0,1.86
201,1524298,Aksu,52.04,76.93,53.6,100,90,13.42
202,3388456,Sao Jose da Coroa Grande,-8.9,-35.15,76.06,90,92,10.36
203,245338,Am Timan,11.04,20.28,76.77,83,44,3.76
204,2618795,Klaksvik,62.23,-6.59,51.8,76,92,8.05
205,2522890,Santa Lucia,39.93,9.66,84.2,79,20,4.65
206,2191562,Dunedin,-45.87,170.5,44.15,78,44,7.34
207,895953,Zambezi,-13.55,23.12,63.14,32,8,9.01
208,3451138,Rio Grande,-32.03,-52.1,62.6,77,90,6.93
209,57000,Hobyo,5.35,48.53,76.5,85,64,19.53
210,2522833,Ugento,39.93,18.16,80.6,88,0,8.05
211,2122090,Pevek,69.7,170.27,41.72,100,0,5.66
212,2126199,Cherskiy,68.75,161.3,46.35,67,0,2.75
213,3466980,Caravelas,-17.73,-39.27,74.25,100,92,15.84
214,1254046,Tura,25.52,90.21,77.5,95,48,2.3
215,1633419,Padang,-0.92,100.36,80.87,100,92,5.21
216,1486468,Yalutorovsk,56.65,66.31,50.72,78,32,4.43
217,2015179,Tommot,58.97,126.27,44.56,87,0,2.3
218,3603330,Amapa,15.09,-87.97,89.6,62,20,9.17
219,2120047,Ust-Omchug,61.13,149.63,48.74,91,80,2.98
220,3026644,Souillac,45.6,-0.6,75.4,64,0,10.29
221,2267254,Lagoa,37.14,-8.45,75.2,69,0,6.93
222,2068110,Kununurra,-15.77,128.74,64.4,22,0,9.17
223,3449293,Sao Domingos,-13.4,-46.32,88.7,25,48,3.2
224,352628,Matay,28.42,30.79,84.06,40,0,8.9
225,2449893,Tessalit,20.2,1.01,76.64,77,44,3.42
226,2152659,Port Macquarie,-31.43,152.91,42.8,60,0,5.82
227,371745,Kutum,14.2,24.66,68.76,85,44,4.65
228,2126123,Chokurdakh,70.62,147.9,45.27,74,0,9.24
229,217570,Buta,2.79,24.73,71.01,93,92,2.19
230,6457397,Bose,45.46,8.01,63.77,78,40,5.82
231,2022773,Khandyga,62.65,135.58,54.59,98,100,3.31
232,770425,Janow Lubelski,50.71,22.41,60.35,78,0,7.67
233,6096551,Pangnirtung,66.15,-65.72,59.0,47,75,14.99
234,2212775,Sabha,27.03,14.43,78.89,28,0,8.23
235,4788158,Suffolk,36.73,-76.58,86.0,58,1,3.36
236,2294915,Takoradi,4.89,-1.75,76.41,97,100,10.25
237,2123814,Leningradskiy,69.38,178.42,36.9,97,92,7.45
238,8010472,Belmonte,40.36,-7.35,69.94,61,12,3.98
239,3572189,High Rock,26.63,-78.28,87.8,66,75,5.82
240,2435837,Beboto,8.27,16.94,68.5,100,92,5.44
241,3583178,San Vicente,13.64,-88.78,88.7,62,40,3.36
242,2128975,Nemuro,43.32,145.57,63.64,94,92,8.46
243,212902,Kindu,-2.95,25.92,79.75,65,20,4.09
244,2108502,Honiara,-9.43,159.96,75.2,94,75,3.76
245,1511276,Atagay,55.1,99.39,63.14,82,0,3.76
246,5859699,College,64.86,-147.8,63.23,63,40,9.17
247,2701715,Karlskoga,59.33,14.52,53.4,93,20,5.82
248,3905792,San Borja,-14.86,-66.75,86.68,46,0,3.76
249,6355222,Yulara,-25.24,130.99,39.2,64,0,5.82
250,3038224,Ales,44.13,4.08,78.21,88,90,9.17
251,3031582,Saint-Augustin,44.83,-0.61,73.4,73,0,11.41
252,1045114,Inhambane,-23.87,35.38,73.4,94,0,11.41
253,4556050,Woodward,36.43,-99.39,87.03,40,75,11.41
254,3347019,Namibe,-15.19,12.15,65.97,100,0,14.05
255,3671519,Puerto Carreno,6.19,-67.49,89.6,59,75,5.82
256,3513563,Kralendijk,12.15,-68.27,87.8,70,40,18.34
257,2990474,Nevers,46.99,3.16,84.52,39,0,3.36
258,3388847,Sao Felix do Xingu,-6.64,-51.99,86.72,54,8,2.42
259,3372707,Ribeira Grande,38.52,-28.7,80.6,74,40,12.75
260,2729907,Longyearbyen,78.22,15.63,44.6,75,75,3.36
261,2189343,Kaeo,-35.1,173.78,55.67,76,88,12.82
262,2358100,Manga,11.67,-1.07,77.27,90,0,4.21
263,5392952,Santa Barbara,34.42,-119.7,78.78,69,20,10.29
264,323779,Antakya,36.22,36.17,82.4,51,0,10.29
265,2644605,Lerwick,60.15,-1.15,56.3,66,76,11.41
266,3421193,Paamiut,61.99,-49.67,45.14,93,8,16.51
267,3471451,Arraial do Cabo,-22.97,-42.02,69.8,73,40,23.04
268,143073,Ardakan,32.31,54.02,91.4,17,0,6.93
269,584365,Abrau-Dyurso,44.7,37.6,62.6,77,0,4.47
270,1314759,Lashio,22.93,97.75,68.9,98,92,1.52
271,2510573,Teguise,29.06,-13.56,78.8,69,20,21.92
272,1810979,Fuling,29.71,107.39,72.91,93,8,2.75
273,1079048,Ambovombe,-25.18,46.09,64.98,94,8,0.96
274,5352997,Gonzales,36.51,-121.44,70.27,64,1,12.75
275,3576994,Cockburn Town,21.46,-71.14,83.72,96,0,19.06
276,2264923,Peniche,39.36,-9.38,67.1,93,75,5.82
277,1495586,Parabel,58.71,81.5,51.31,81,56,5.44
278,1690438,San Andres,13.32,122.68,83.7,95,44,27.25
279,3467272,Capim Grosso,-11.38,-40.01,82.71,45,8,5.66
280,6316343,Alta Floresta,-9.87,-56.08,98.6,30,40,3.36
281,1488903,Turukhansk,65.8,87.96,47.26,96,80,12.15
